('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         903499 function calls (876469 primitive calls) in 5.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    166/1    0.002    0.000    5.695    5.695 {built-in method builtins.exec}
        1    0.001    0.001    5.695    5.695 financial.py:1(<module>)
       21    0.002    0.000    4.758    0.227 __init__.py:1(<module>)
        1    0.000    0.000    3.525    3.525 financial.py:9(parser)
        1    0.000    0.000    2.025    2.025 api.py:62(get)
        1    0.000    0.000    2.025    2.025 api.py:14(request)
        1    0.000    0.000    2.024    2.024 sessions.py:500(request)
      2/1    0.000    0.000    2.017    2.017 sessions.py:673(send)
    218/4    0.005    0.000    1.962    0.490 <frozen importlib._bootstrap>:1349(_find_and_load)
    218/4    0.003    0.000    1.961    0.490 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    191/4    0.003    0.000    1.958    0.490 <frozen importlib._bootstrap>:911(_load_unlocked)
    164/4    0.001    0.000    1.958    0.489 <frozen importlib._bootstrap_external>:1020(exec_module)
    455/8    0.002    0.000    1.956    0.244 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      332    0.004    0.000    1.700    0.005 socket.py:706(readinto)
      332    0.004    0.000    1.693    0.005 ssl.py:1289(recv_into)
      332    0.002    0.000    1.688    0.005 ssl.py:1129(read)
      332    1.685    0.005    1.685    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      3/2    0.000    0.000    1.604    0.802 sessions.py:159(resolve_redirects)
        2    0.000    0.000    1.537    0.769 adapters.py:590(send)
        2    0.000    0.000    1.530    0.765 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.526    0.763 connectionpool.py:377(_make_request)
        1    0.000    0.000    1.497    1.497 __init__.py:211(__init__)
        1    0.000    0.000    1.497    1.497 __init__.py:653(_feed)
        1    0.000    0.000    1.497    1.497 _htmlparser.py:449(feed)
        1    0.000    0.000    1.497    1.497 parser.py:152(feed)
        2    0.111    0.056    1.497    0.748 parser.py:189(goahead)
