('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         1003849 function calls (974791 primitive calls) in 19.996 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    93184    0.132    0.000    0.132    0.000 {method 'append' of 'list' objects}
75766/68997    0.117    0.000    0.136    0.000 {built-in method builtins.len}
74922/74882    0.105    0.000    0.107    0.000 {built-in method builtins.isinstance}
    38595    0.080    0.000    0.080    0.000 {method 'match' of 're.Pattern' objects}
    28197    0.081    0.000    0.122    0.000 _parser.py:167(__getitem__)
    26153    0.039    0.000    0.039    0.000 {method 'get' of 'dict' objects}
    24873    0.035    0.000    0.035    0.000 _parser.py:239(__next)
    21414    0.031    0.000    0.031    0.000 {method 'startswith' of 'str' objects}
    21377    0.034    0.000    0.034    0.000 {method 'group' of 're.Match' objects}
    19263    0.028    0.000    0.028    0.000 {method 'end' of 're.Match' objects}
    18682    0.027    0.000    0.027    0.000 {method 'lower' of 'str' objects}
    16560    0.047    0.000    0.070    0.000 _parser.py:260(get)
    14190    0.020    0.000    0.020    0.000 {built-in method builtins.min}
    13867    0.036    0.000    0.053    0.000 _markupbase.py:44(updatepos)
    12201    0.034    0.000    0.050    0.000 _parser.py:163(__len__)
    11793    0.016    0.000    0.016    0.000 typing.py:2371(cast)
    11659    0.025    0.000    0.034    0.000 _parser.py:255(match)
10902/8311    0.030    0.000    0.087    0.000 {method 'sub' of 're.Pattern' objects}
    10679    0.015    0.000    0.015    0.000 {method 'rstrip' of 'str' objects}
    10363    0.021    0.000    0.021    0.000 element.py:377(setup)
    10290    0.017    0.000    0.017    0.000 {method 'count' of 'str' objects}
     9496    0.016    0.000    0.016    0.000 {method 'join' of 'str' objects}
9154/9061    0.019    0.000    0.141    0.000 typing.py:426(inner)
9134/9133    0.028    0.000    0.064    0.000 {built-in method builtins.next}
     9134    0.013    0.000    0.013    0.000 {method 'endswith' of 'str' objects}
     8074    0.013    0.000    0.014    0.000 element.py:2788(descendants)
     8070    0.011    0.000    0.011    0.000 {built-in method builtins.ord}
     7967    0.023    0.000    0.108    0.000 parser.py:104(_unescape_attrvalue)
     7441    0.012    0.000    0.016    0.000 {built-in method builtins.getattr}
     7365    0.020    0.000    0.031    0.000 _parser.py:175(append)
     7246    0.036    0.000    0.174    0.000 __init__.py:829(endData)
     7130    0.016    0.000    0.016    0.000 {method 'search' of 're.Pattern' objects}
     7075    0.010    0.000    0.010    0.000 {method 'start' of 're.Match' objects}
     6929    0.028    0.000    0.100    0.000 filter.py:725(match)
     5998    0.008    0.000    0.008    0.000 _parser.py:112(__init__)
 5430/496    0.049    0.000    0.074    0.000 _parser.py:177(getwidth)
 5412/235    0.123    0.000    0.310    0.001 _compiler.py:37(_compile)
 4745/278    0.122    0.000    0.535    0.002 _parser.py:511(_parse)
4603/4471    0.013    0.000    0.025    0.000 {built-in method __new__ of type object at 0x7f45e0cb52e0}
     4540    0.009    0.000    0.012    0.000 {built-in method builtins.max}
     4264    0.006    0.000    0.006    0.000 {method 'pop' of 'list' objects}
     4012    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     4011    0.011    0.000    0.017    0.000 _parser.py:292(tell)
     3976    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
     3797    0.023    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     3708    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
     3705    0.014    0.000    0.023    0.000 typing.py:1294(_is_dunder)
     3684    0.005    0.000    0.005    0.000 {built-in method builtins.chr}
     3497    0.005    0.000    0.006    0.000 __init__.py:636(set_up_substitutions)
     3497    0.031    0.000    0.133    0.000 element.py:1627(__init__)
     3497    0.018    0.000    0.028    0.000 __init__.py:812(pushTag)
     3497    0.005    0.000    0.005    0.000 __init__.py:290(can_be_empty_element)
     3496    0.049    0.000    0.084    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     3496    0.013    0.000    0.018    0.000 __init__.py:789(popTag)
     3496    0.046    0.000    0.301    0.000 __init__.py:990(handle_starttag)
     3496    0.027    0.000    0.352    0.000 _htmlparser.py:142(handle_starttag)
     3496    0.139    0.000    0.748    0.000 parser.py:389(parse_starttag)
     3496    0.015    0.000    0.058    0.000 filter.py:539(matches_tag)
     3496    0.005    0.000    0.005    0.000 _markupbase.py:36(getpos)
     3496    0.015    0.000    0.173    0.000 _htmlparser.py:204(handle_endtag)
     3496    0.005    0.000    0.005    0.000 element.py:2228(__bool__)
     3496    0.010    0.000    0.015    0.000 element.py:1821(is_empty_element)
     3496    0.017    0.000    0.033    0.000 parser.py:437(check_for_whole_start_tag)
     3495    0.024    0.000    0.052    0.000 __init__.py:953(_popToTag)
     3495    0.017    0.000    0.158    0.000 __init__.py:1056(handle_endtag)
     3469    0.010    0.000    0.015    0.000 __init__.py:1068(handle_data)
     3463    0.005    0.000    0.005    0.000 filter.py:260(_base_match)
     3433    0.026    0.000    0.054    0.000 __init__.py:870(object_was_parsed)
     3433    0.023    0.000    0.041    0.000 element.py:1292(__new__)
     3433    0.022    0.000    0.038    0.000 __init__.py:735(string_container)
     3402    0.005    0.000    0.005    0.000 {method 'keys' of 'dict' objects}
     3342    0.010    0.000    0.025    0.000 _htmlparser.py:222(handle_data)
     3313    0.005    0.000    0.005    0.000 {method 'find' of 'str' objects}
     3291    0.054    0.000    0.265    0.000 parser.py:447(parse_endtag)
     3291    0.005    0.000    0.005    0.000 parser.py:181(clear_cdata_mode)
     3265    0.005    0.000    0.005    0.000 {method 'find' of 'bytearray' objects}
     3199    0.006    0.000    0.009    0.000 {built-in method builtins.hasattr}
     3053    0.011    0.000    0.029    0.000 typing.py:1368(__setattr__)
     2870    0.005    0.000    0.005    0.000 {method 'rpartition' of 'str' objects}
     2707    0.007    0.000    0.011    0.000 filter.py:293(matches_string)
     2691    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
     2591    0.016    0.000    0.027    0.000 __init__.py:91(_replace_charref)
     2591    0.015    0.000    0.066    0.000 parser.py:92(_replace_attr_charref)
     2591    0.007    0.000    0.043    0.000 __init__.py:122(unescape)
     2585    0.007    0.000    0.012    0.000 css_parser.py:317(match)
     2032    0.004    0.000    0.007    0.000 {built-in method builtins.setattr}
     1981    0.008    0.000    0.011    0.000 __init__.py:909(_linkage_fixer)
     1965    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
     1965    0.003    0.000    0.003    0.000 {built-in method _imp.release_lock}
     1922    0.003    0.000    0.003    0.000 {method 'isupper' of 'str' objects}
     1832    0.003    0.000    0.003    0.000 _exceptions.py:7(map_exceptions)
     1828    0.005    0.000    0.007    0.000 typing.py:1437(__eq__)
1788/1311    0.004    0.000    0.006    0.000 {built-in method builtins.hash}
     1739    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     1681    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_iscased}
     1575    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1575    0.008    0.000    0.008    0.000 {built-in method posix.stat}
     1464    0.003    0.000    0.003    0.000 _connection.py:224(their_state)
     1423    0.002    0.000    0.002    0.000 typing.py:1427(<genexpr>)
     1418    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
     1393    0.006    0.000    0.017    0.000 filter.py:628(_match_attribute_value_helper)
     1308    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
 1276/235    0.034    0.000    0.541    0.002 _parser.py:451(_parse_sub)
     1177    0.004    0.000    0.009    0.000 _parser.py:171(__setitem__)
     1173    0.004    0.000    0.007    0.000 enum.py:1589(_get_value)
     1161    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:645(parent)
     1142    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1142    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1105    0.005    0.000    0.012    0.000 _parser.py:311(_class_escape)
     1054    0.002    0.000    0.004    0.000 {built-in method fromkeys}
     1015    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1014    0.003    0.000    0.008    0.000 typing.py:164(_type_convert)
 1001/994    0.014    0.000    0.411    0.000 {built-in method builtins.__build_class__}
      988    0.003    0.000    0.004    0.000 _parser.py:82(groups)
      950    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
      942    0.012    0.000    0.036    0.000 typing.py:173(_type_check)
      930    0.004    0.000    0.009    0.000 contextlib.py:136(__enter__)
      930    0.005    0.000    0.007    0.000 contextlib.py:108(__init__)
      930    0.005    0.000    0.012    0.000 contextlib.py:303(helper)
      929    0.005    0.000    0.012    0.000 contextlib.py:145(__exit__)
      926    0.003    0.000    0.004    0.000 typing.py:1096(__eq__)
      897    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
