('Total Revenue', '281,724,000 ', '281,724,000 ', '245,122,000 ', '211,915,000 ', '198,270,000 ')
         902524 function calls (875473 primitive calls) in 10.480 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    166/1    0.002    0.000   10.480   10.480 {built-in method builtins.exec}
        1    0.001    0.001   10.480   10.480 financial.py:1(<module>)
        1    0.001    0.001    5.210    5.210 financial.py:24(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
       21    0.001    0.000    4.513    0.215 __init__.py:1(<module>)
        1    0.000    0.000    3.401    3.401 financial.py:9(parser)
    218/4    0.005    0.000    1.870    0.468 <frozen importlib._bootstrap>:1349(_find_and_load)
    218/4    0.003    0.000    1.869    0.467 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    191/4    0.003    0.000    1.866    0.467 <frozen importlib._bootstrap>:911(_load_unlocked)
    164/4    0.001    0.000    1.866    0.466 <frozen importlib._bootstrap_external>:1020(exec_module)
    455/8    0.002    0.000    1.864    0.233 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    1.829    1.829 api.py:62(get)
        1    0.000    0.000    1.829    1.829 api.py:14(request)
        1    0.000    0.000    1.829    1.829 sessions.py:500(request)
      2/1    0.000    0.000    1.822    1.822 sessions.py:673(send)
        1    0.000    0.000    1.569    1.569 __init__.py:211(__init__)
        1    0.000    0.000    1.568    1.568 __init__.py:653(_feed)
        1    0.000    0.000    1.568    1.568 _htmlparser.py:449(feed)
        1    0.000    0.000    1.568    1.568 parser.py:152(feed)
        2    0.117    0.058    1.568    0.784 parser.py:189(goahead)
      308    0.004    0.000    1.557    0.005 socket.py:706(readinto)
      308    0.004    0.000    1.550    0.005 ssl.py:1289(recv_into)
      308    0.002    0.000    1.544    0.005 ssl.py:1129(read)
      308    1.541    0.005    1.541    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      3/2    0.000    0.000    1.468    0.734 sessions.py:159(resolve_redirects)
        2    0.000    0.000    1.325    0.662 adapters.py:590(send)
        2    0.000    0.000    1.318    0.659 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.315    0.657 connectionpool.py:377(_make_request)
      319    0.001    0.000    1.273    0.004 __init__.py:287(compile)
      321    0.007    0.000    1.273    0.004 __init__.py:330(_compile)
      201    0.004    0.000    1.252    0.006 _compiler.py:743(compile)
        1    0.000    0.000    1.139    1.139 element.py:1(<module>)
        2    0.000    0.000    1.108    0.554 connection.py:534(getresponse)
        2    0.000    0.000    1.105    0.553 client.py:1386(getresponse)
        2    0.000    0.000    1.105    0.553 client.py:324(begin)
       69    0.001    0.000    1.099    0.016 {method 'readline' of '_io.BufferedReader' objects}
    29/16    0.000    0.000    1.046    0.065 {built-in method builtins.__import__}
        2    0.000    0.000    0.973    0.487 client.py:291(_read_status)
